wall_t,ref,other,dx,dy,dz,range_m,dyaw_deg
32.000,robot1,robot2,-14.1076,-4.1530,-0.0935,14.7064,125.15
32.100,robot1,robot2,-14.1076,-4.1530,-0.0935,14.7064,125.15
32.200,robot1,robot2,-14.1076,-4.1530,-0.0935,14.7064,125.15
32.300,robot1,robot2,-14.1076,-4.1530,-0.0935,14.7064,125.15
32.400,robot1,robot2,-13.7510,-4.7883,-0.1677,14.5619,127.67
32.500,robot1,robot2,-13.7510,-4.7883,-0.1677,14.5619,127.67
32.600,robot1,robot2,-13.7510,-4.7883,-0.1677,14.5619,127.67
32.700,robot1,robot2,-13.7510,-4.7883,-0.1677,14.5619,127.67
32.800,robot1,robot2,-13.7510,-4.7883,-0.1677,14.5619,127.67
32.900,robot1,robot2,-12.4333,-6.2548,-0.1156,13.9184,137.53
33.000,robot1,robot2,-12.4333,-6.2548,-0.1156,13.9184,137.53
33.100,robot1,robot2,-12.4333,-6.2548,-0.1156,13.9184,137.53
33.200,robot1,robot2,-12.4333,-6.2548,-0.1156,13.9184,137.53
33.300,robot1,robot2,-12.4333,-6.2548,-0.1156,13.9184,137.53
33.400,robot1,robot2,-12.4333,-6.2548,-0.1156,13.9184,137.53
33.500,robot1,robot2,-12.4333,-6.2548,-0.1156,13.9184,137.53
33.600,robot1,robot2,-12.4333,-6.2548,-0.1156,13.9184,137.53
33.700,robot1,robot2,-12.4333,-6.2548,-0.1156,13.9184,137.53
33.800,robot1,robot2,-12.3584,-6.3102,-0.1392,13.8769,137.91
33.900,robot1,robot2,-12.3584,-6.3102,-0.1392,13.8769,137.91
34.000,robot1,robot2,-12.3584,-6.3102,-0.1392,13.8769,137.91
34.100,robot1,robot2,-12.3584,-6.3102,-0.1392,13.8769,137.91
34.200,robot1,robot2,-12.3584,-6.3102,-0.1392,13.8769,137.91
34.300,robot1,robot2,-12.3584,-6.3102,-0.1392,13.8769,137.91
34.400,robot1,robot2,-12.3584,-6.3102,-0.1392,13.8769,137.91
34.500,robot1,robot2,-12.3584,-6.3102,-0.1392,13.8769,137.91
34.600,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
34.700,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
34.800,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
34.900,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
35.000,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
35.100,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
35.200,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
35.300,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
35.400,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
35.500,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
35.600,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
35.700,robot1,robot2,-11.9698,-6.6492,-0.0950,13.6930,133.76
35.800,robot1,robot2,-11.7238,-7.0327,-0.0488,13.6714,126.41
35.900,robot1,robot2,-11.7238,-7.0327,-0.0488,13.6714,126.41
36.000,robot1,robot2,-11.7238,-7.0327,-0.0488,13.6714,126.41
36.100,robot1,robot2,-11.7238,-7.0327,-0.0488,13.6714,126.41
36.200,robot1,robot2,-11.7238,-7.0327,-0.0488,13.6714,126.41
36.300,robot1,robot2,-11.7238,-7.0327,-0.0488,13.6714,126.41
36.400,robot1,robot2,-11.6225,-7.1407,-0.0694,13.6410,124.21
36.500,robot1,robot2,-11.6225,-7.1407,-0.0694,13.6410,124.21
